0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
7,0,1,0,0,4,0,0,1,0,3,1,0,0,0,7,0,0,1,0,14,0,0,0,1,9,0,1,0,0,6,1,0,0,0,0.3565,0.609
7,0,0,0,1,6,0,0,1,0,9,1,0,0,0,10,0,0,0,1,4,0,0,0,1,8,1,0,0,0,8,0,0,0,1,0.4185,0.904
12,0,0,0,1,14,0,1,0,0,3,0,1,0,0,6,0,0,1,0,7,0,0,1,0,5,0,0,1,0,4,0,0,1,0,0.629,0.264
14,1,0,0,0,5,0,0,0,1,2,0,0,1,0,4,0,0,0,1,14,0,0,1,0,2,0,0,0,1,4,0,0,1,0,0.585,0.7055
8,0,1,0,0,11,1,0,0,0,7,1,0,0,0,13,1,0,0,0,4,0,0,1,0,10,1,0,0,0,2,1,0,0,0,0.5215,0.918
9,0,0,0,1,10,1,0,0,0,11,0,0,1,0,7,0,0,1,0,2,0,0,0,1,11,0,1,0,0,8,0,0,0,1,0.5395,0.963
7,1,0,0,0,9,0,0,0,1,12,0,1,0,0,14,1,0,0,0,10,0,0,1,0,2,1,0,0,0,12,0,0,1,0,0.442,0.254
4,0,1,0,0,14,0,0,0,1,3,0,1,0,0,5,0,1,0,0,9,0,1,0,0,10,0,1,0,0,8,0,1,0,0,0.5575,0.749
12,0,0,0,1,5,0,0,1,0,2,0,1,0,0,7,0,1,0,0,8,0,0,1,0,9,0,0,1,0,11,0,0,1,0,0.4975,0.095
13,0,0,1,0,12,0,0,0,1,11,0,1,0,0,13,0,0,0,1,14,0,1,0,0,6,0,0,0,1,11,0,0,1,0,0.611,0.7245
14,0,1,0,0,3,1,0,0,0,3,0,1,0,0,7,0,0,1,0,12,1,0,0,0,6,0,0,1,0,12,0,0,0,1,0.543,0.584
11,0,1,0,0,8,0,0,1,0,3,0,0,1,0,14,1,0,0,0,13,1,0,0,0,5,0,1,0,0,6,1,0,0,0,0.516,0.2305
12,0,1,0,0,2,1,0,0,0,5,1,0,0,0,5,0,1,0,0,4,0,0,1,0,13,0,1,0,0,12,1,0,0,0,0.4655,0.7115
